jobtypeid,jobtype_name
2825580530,Commercial-Warranty
2202025922,Door Install Warranty - Signature
406223187,Maintenance-Worry Free Tune Up PREMIER
2840085785,Gate Quote
1660493506,Water Treatment Install - Level 1
1661053630,Water Treatment Install - RO System
1661055509,Water Treatment Install - Level 2
48215010,Service-Site Check
642902822,Install Site Check
2825568612,Commercial-Afterhours Emergency
87674092,Install-Paint Job
98452841,Operational-Customer Call-Service
46038191,Sales-Door Sale Follow Up
87504269,Operational- Door Phone Quote
1416463,Home Depot Door Drop Off
1416461,Home Depot Door Site Check
1416464,Home Depot Genie Install
1416462,Home Depot Door Install
1416465,Home Depot Genie Site Check
82052613,zzzP1 Dispatch Priority 1
75341772,zzzP4 Quality Check
500126732,Inventory
500126738,Ankmar
84472135,zzzP3 Storage Quote
85325449,Eddie
500546130,Rescheduled
75869413,zzzRemote/Minor Issues
500126733,Office Time
653731505,Trailer Repair
500126737,Randy Off
652601309,Door Sale Follow up (Over the phone)
86371518,zzzP4 Prop Mgmt/Realestate
99946416,P6 Tech Home
87256918,zzzP2 Technician Generated
652601317,Opener ??
80482711,P4 A1 Membership Parts
85330076,Jared
652601308,Door Sale Follow up (Face to Face) 
82050879,zzzP3 Dispatch Priority 3
73488942,P5 Not booked (Cancelled during booking)
500126736,Rick Off
500126742,In the Field
652601301,Check-A-Pro Customer 
500546146,Truck Check
500546147,Home Depot Service Call
500126727,Recall Install Job
86513069,zzzP4 Mountain Vistas Communities
500126741,Stock Truck
652601303,Crashed Door 
500126744,Technician Overlook
652601305,Door ?? 
500126731,Mandatory Meeting
81981933,zzzP2 Spring Job (Quoted)
500126740,Personal Appointment
652601323,Remove DD 
500546126,Miscellaneous
500126739,Interview
652601313,LM Vendor Warranty Req
78339488,zzzP4 Americas 1st Choice Home Warranty
72654967,Parts only
43776874,P5 Tech House
67161892,zzzP4 Door Tech
500546125,Site CheckðŸ”ðŸ”®
500126735,Joe Off
302586536,OMA Door Install
500546132,Amarr InstallðŸ 
500546141,Home Depot Delivery ðŸš›
653731477,Section Replacement
500546133,Amarr Delivery ðŸšš
